







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:0 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 2	win_komis:202	 total_komis:740	 total_plays:17	 pattern_win:0
Node:2 3	win_komis:3454	 total_komis:7038	 total_plays:147	 pattern_win:0
Node:2 4	win_komis:14696	 total_komis:28202	 total_plays:586	 pattern_win:0
Node:2 5	win_komis:957	 total_komis:2383	 total_plays:67	 pattern_win:0
Node:2 6	win_komis:13103	 total_komis:25145	 total_plays:507	 pattern_win:0
Node:2 7	win_komis:5011	 total_komis:10243	 total_plays:210	 pattern_win:0
Node:2 8	win_komis:20362	 total_komis:38100	 total_plays:797	 pattern_win:0
Node:2 9	win_komis:452	 total_komis:1332	 total_plays:26	 pattern_win:0
Node:2 10	win_komis:130244	 total_komis:234806	 total_plays:4831	 pattern_win:0
Node:2 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 2	win_komis:3016	 total_komis:6202	 total_plays:121	 pattern_win:0
Node:3 4	win_komis:21418	 total_komis:40770	 total_plays:834	 pattern_win:0
Node:3 5	win_komis:9001	 total_komis:17581	 total_plays:365	 pattern_win:0
Node:3 6	win_komis:493	 total_komis:1647	 total_plays:25	 pattern_win:0
Node:3 7	win_komis:88940	 total_komis:165110	 total_plays:3361	 pattern_win:0
Node:3 8	win_komis:780	 total_komis:2070	 total_plays:37	 pattern_win:0
Node:3 10	win_komis:5644	 total_komis:11524	 total_plays:228	 pattern_win:0
Node:3 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:4 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:4 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:4 2	win_komis:1995	 total_komis:4469	 total_plays:99	 pattern_win:0
Node:4 3	win_komis:5212	 total_komis:10500	 total_plays:234	 pattern_win:0
Node:4 4	win_komis:39755	 total_komis:73407	 total_plays:1494	 pattern_win:0
Node:4 5	win_komis:499	 total_komis:1613	 total_plays:41	 pattern_win:0
